Campaign_ID,Campaign_Name,Platform,Date,Impressions,Clicks,Conversions,Ad_Spend,Revenue
CAMP1000,Holiday Deals,Google Ads,14/01/2025,77097,2092,79,691.98,7431.28
CAMP1001,Holiday Deals,Affiliate,04/08/2024,13331,161,7,2625.71,158.58
CAMP1002,New Product Launch,Affiliate,02/08/2024,62787,2602,146,4372.64,13998.59
CAMP1003,Summer Sale,Email Marketing,23/06/2024,77842,1625,234,1815.65,6850.25
CAMP1004,Holiday Deals,TikTok Ads,25/06/2024,74342,4943,567,2773.89,66515.66
CAMP1005,Flash Sale,Google Ads,09/10/2024,81854,5570,559,4336.19,43453.98
CAMP1006,Holiday Deals,Google Ads,04/12/2024,64742,4150,614,4305.53,65482.1
CAMP1007,Flash Sale,TikTok Ads,20/08/2024,100638,2152,142,3416.84,12805.85
CAMP1008,Holiday Deals,Affiliate,21/11/2024,49862,2362,122,2418.85,5733.36
CAMP1009,New Product Launch,TikTok Ads,28/01/2025,19663,511,12,1714.17,561.29
CAMP1010,New Product Launch,Affiliate,02/01/2025,87490,2177,184,4446.48,15508.47
CAMP1011,Summer Sale,TikTok Ads,12/03/2024,69651,4328,389,3785.67,24446.08
CAMP1012,Flash Sale,TikTok Ads,22/04/2024,41262,1884,59,426.16,1826.93
CAMP1013,Summer Sale,Email Marketing,01/11/2024,21653,799,77,2446.64,3475.89
CAMP1014,Winter Promo,Google Ads,15/12/2024,145763,9119,1093,1832.84,53939.56
CAMP1015,Summer Sale,Email Marketing,02/01/2024,74045,5777,687,2636.87,21050.42
CAMP1016,Retargeting Campaign,Affiliate,07/11/2024,57143,1182,140,2789.02,13700.77
CAMP1017,Winter Promo,Affiliate,14/06/2024,133085,1512,212,4417.87,21871.31
CAMP1018,Retargeting Campaign,Meta Ads,30/01/2024,68143,4869,696,611.14,47744.94
CAMP1019,Holiday Deals,Affiliate,27/01/2025,37967,720,58,2839.06,2697.33
CAMP1020,Flash Sale,Meta Ads,03/10/2024,57730,3458,248,3424.1,14220.83
CAMP1021,Clearance Event,Google Ads,06/05/2024,63903,925,21,2858.82,1655.72
